Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Vigour","শারীরিক প্রাণশক্তি / তেজ ও বলিষ্ঠ উদ্দীপনা","Energy, vitality, robustness, stamina, dynamic strength","Lethargy, weakness, fatigue, enervation","Physical strength and good health; effort, energy, and enthusiasm.","The underlying assumption is that boys are active and full of vigour, but girls are naive and lack the intelligence or energy to match their male counterparts.","Unit 7: Lesson 3 (The Unbeaten Girls)"
"Psychological","মনস্তাত্ত্বিক / মানসিক","Mental, emotional, cognitive, inner","Physical, corporal, bodily","Related to the mental and emotional state of a person.","As it has economic impacts, it has psychological, sociological, or geographical impacts too.","Unit 11: Peace and Conflict: Situations of Conflict"
"Spirit","উদ্দীপনা / মনোভাব / আমেজ","Mood, feelings, attitude, atmosphere, enthusiasm","Apathy, lifelessness, dullness","The prevailing tone or tendency of what is said or done; mood.","Lifestyle B.","Unit 10: Lesson 2 (Etiquette Netquette)"
"Approach","দৃষ্টিভঙ্গি / কর্মপদ্ধতি / আগমন","Attitude, Method, Manner, Strategy, Advance","Departure, Retreat, Withdrawal, Avoidance","A way of dealing with situations or coming nearer to someone.","[Unit 10: Lesson 1]: Unit Ten: Lifestyle Lesson 1 Manners Around the World A.
[Unit 4: Lesson 3]: A polite and humble approach helps foreigners adapt to different international customs.","Unit 10: Lesson 1 (Manners Around the World)"
"Well-being","হিতাবস্থা / কল্যাণ / মঙ্গল","Welfare, betterment, prosperity, health","Ill-being, woe, misery, suffering","The state of being comfortable, healthy, or happy.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Interaction","মিথস্ক্রিয়া / পারস্পরিক যোগাযোগ","Communication, dialogue, contact, interplay, connection","Isolation, detachment, alienation, segregation","Reciprocal action or social communication between individuals.","There is also the lack of human interaction and emotional support that students receive when using AI-powered educational tools.","Unit 1: Lesson 2 (Education and Technology)"
"Moderate","পরিমিত / মধ্যম মাত্রার / সহনশীল","Temperate, reasonable, modest, intermediate, balanced","Extreme, excessive, drastic, radical","Average in amount, intensity, quality, or degree; not extreme.","He warned Icarus to fly at a moderate height—too close to the sea, and the wings would become heavy with moisture; too close to the sun, and the wax would melt.","Unit 3: Lesson 2 (Icarus)"
"Elementary","প্রাথমিক / বুনিয়াদি পর্যায় / মৌলিক স্তর","Basic, primary, foundational, rudimentary, introductory","Advanced, complex, sophisticated","Relating to the basic elements of a subject; primary.","Education shall be free, at least in the elementary and fundamental stages.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Momentum","গতিশক্তি / তীব্র গতিবেগ ও উদ্যম","Impetus, drive, thrust, velocity, force","Inertia, stagnation, standstill","The quantity of motion of a moving body; impetus gained by movement.","the momentum was building up...","Unit 7: Lesson 1 (Brojen Das)"
"Togetherness","একাত্মতা / সৌহার্দ্যপূর্ণ ঐক্য ও ভ্রাতৃত্ববোধ","Solidarity, unity, camaraderie, fellowship, communion","Isolation, alienation, estrangement, discord","The state of being close to another person or other people; affection and closeness.","Here is a poem Angelou wrote about human relationship, more particularly, togetherness, without which our lives become meaningless, no matter how wealthy or well-connected we are.","Unit 11: Lesson 1 (Situations of Conflict)"
"Foster","লালন-পালন করা / প্রবৃদ্ধি ঘটানো","Nurture, cultivate, encourage, cherish","Neglect, suppress, destroy, stifle","Encourage or promote the development of something.","Relationships can also be fostered in workplaces, which may quickly change from professional to social.","Unit 8: Relationships: Family Relationship"
"Impelled","প্রণোদিত করা / বাধ্য করা","Driven, urged, propelled, motivated","Deterred, discouraged, restrained","Drive, force, or urge (someone) to do something.","He was suddenly impelled to speak.","Unit 8: Relationships: A Mother in Mannville"
"Politics","রাজনীতি","Governance, statecraft, civic affairs, political science","Apathy, lawlessness, anarchy","The activities associated with the governance of a country or area.","A cat can look out for itself, but I cannot think what will become of the others."" ""What politics have you?"" I asked.","Unit 11: Peace and Conflict: ""The Old Man at the Bridge"" by Ernest Hemingway"
"Awash","বিধৌত / রক্তে প্লাবিত বা রঞ্জিত","Flooded, covered, submerged, inundated, overflowing","Dried, barren, arid, drained","Covered or flooded with water or another liquid such as blood.","[Unit 4: Lesson 2]: The streets of Dhaka, Chattogram, Khulna, Rajshahi and Rangpur are awash with the blood of our brothers.
[Unit 4: Transformative Speeches: Three Speeches]: The streets of Dhaka, Chattogram, Khulna, Rajshahi and Rangpur are awash with the blood of our brothers.","Unit 4: Lesson 2 (Transformative Speeches)"
"Injustice","অবিচার / অন্যায় / অসঙ্গতি","Unfairness, inequity, wrong, grievance, oppression","Justice, fairness, righteousness, equity","Lack of fairness or justice; an unjust act or occurrence.","[Unit 4: Lesson 2]: A state sweltering with the heat of injustice will be transformed into an oasis of freedom and justice.
[Unit 4: Transformative Speeches: Three Speeches]: A state sweltering with the heat of injustice will be transformed into an oasis of freedom and justice.","Unit 4: Lesson 2 (Transformative Speeches)"
"Interposition","হস্তক্ষেপ / বাধা দেওয়া","Intervention, interference, mediation, intrusion","Non-intervention, withdrawal, disregard, neutrality","The action of interposing and interfering with federal authority or civil rights.","[Unit 4: Lesson 2]: With its governor having his lips dripping with the words of 'interposition' and 'nullification'.
[Unit 4: Transformative Speeches: Three Speeches]: With its governor having his lips dripping with the words of 'interposition' and 'nullification'.","Unit 4: Lesson 2 (Transformative Speeches)"
"Languish","নিস্তেজ হওয়া / কষ্টে ধুঁকা","Decay, deteriorate, wither, suffer, pine","Flourish, thrive, prosper, bloom","Grow weak or feeble; suffer from being forced to remain in an unpleasant place or situation.","[Unit 4: Lesson 2]: The Negro is still languishing in the corners of American society and finds himself an exile in his own land.
[Unit 4: Transformative Speeches: Three Speeches]: The Negro is still languishing in the corners of American society and finds himself an exile in his own land.","Unit 4: Lesson 2 (Transformative Speeches)"
"Oppression","নিপীড়ন / অত্যাচার / ভারাক্রান্ত অবস্থা","Persecution, tyranny, subjugation, cruelty, harassment","Freedom, liberation, justice, cheerfulness","Prolonged cruel or unjust treatment or exercise of authority.","[Unit 4: Lesson 2]: A state sweltering with the heat of oppression will be transformed into an oasis of freedom and justice.
[Unit 4: Transformative Speeches: Three Speeches]: A state sweltering with the heat of oppression will be transformed into an oasis of freedom and justice.
[Unit 4: Lesson 3]: A state sweltering with the heat of oppression will be transformed into an oasis of freedom and justice.","Unit 4: Lesson 2 (Transformative Speeches)"
"Resistance","প্রতিরোধ / বাধা দান","Opposition, defiance, counteraction, struggle","Surrender, submission, compliance, yielding","The refusal to accept or comply with something; the attempt to prevent something by action or argument.","[Unit 4: Lesson 2]: This campaign was based on the principles of passive resistance.
[Unit 4: Transformative Speeches: Three Speeches]: This campaign was based on the principles of passive resistance.
[Unit 4: Lesson 3]: This campaign was based on the principles of passive resistance.","Unit 4: Lesson 2 (Transformative Speeches)"
"Self-evident","স্বতঃসিদ্ধ / স্বতঃপ্রমাণ","Obvious, apparent, manifest, indisputable, clear","Unclear, questionable, obscure, doubtful","Not needing to be demonstrated or explained; obvious.","[Unit 4: Lesson 2]: We hold these truths to be self-evident; that all men are created equal.
[Unit 4: Transformative Speeches: Three Speeches]: We hold these truths to be self-evident; that all men are created equal.","Unit 4: Lesson 2 (Transformative Speeches)"
